eunis_code	jncc_code
A3.7162	IR.FIR.SG.CC.Mo
A3.72	IR.FIR.IFou
A4	CR
A4.1	CR.HCR
A4.11	CR.HCR.FaT
A4.111	CR.HCR.FaT.BalTub
A4.112	CR.HCR.FaT.CTub
A4.1121	CR.HCR.FaT.CTub.CuSp
A4.1122	CR.HCR.FaT.CTub.Adig
A4.12	CR.HCR.DpSp
A4.121	CR.HCR.DpSp.PhaAxi
A4.13	CR.HCR.XFa
A4.131	CR.HCR.XFa.ByErSp
A4.1311	CR.HCR.XFa.ByErSp.Eun
A4.1312	CR.HCR.XFa.ByErSp.DysAct
A4.1313	CR.HCR.XFa.ByErSp.Sag
A4.132	CR.HCR.XFa.CvirCri
A4.133	CR.HCR.XFa.SwiLgAs
A4.134	CR.HCR.XFa.FluCoAs
A4.1341	CR.HCR.XFa.FluCoAs.Paur
A4.1342	CR.HCR.XFa.FluCoAs.SmAs
A4.1343	CR.HCR.XFa.FluCoAs.X
A4.135	CR.HCR.XFa.SpNemAdia
A4.136	CR.HCR.XFa.SubCriTf
A4.137	CR.HCR.XFa.FluHocu
A4.138	CR.HCR.XFa.Mol
A4.139	CR.HCR.XFa.SpAnVt
A4.2	CR.MCR
A4.21	CR.MCR.EcCr
A4.211	CR.MCR.EcCr.CarSwi
A4.2111	CR.MCR.EcCr.CarSwi.Aglo
A4.2112	CR.MCR.EcCr.CarSwi.LgAs
A4.212	CR.MCR.EcCr.CarSp
A4.2121	CR.MCR.EcCr.CarSp.Bri
A4.2122	CR.MCR.EcCr.CarSp.PenPcom
A4.213	CR.MCR.EcCr.UrtScr
A4.214	CR.MCR.EcCr.FaAlCr
A4.2141	CR.MCR.EcCr.FaAlCr.Flu
A4.2142	CR.MCR.EcCr.FaAlCr.Adig
A4.2143	CR.MCR.EcCr.FaAlCr.Sec
A4.2144	CR.MCR.EcCr.FaAlCr.Bri
A4.2145	CR.MCR.EcCr.FaAlCr.Pom
A4.2146	CR.MCR.EcCr.FaAlCr.Car
A4.215	CR.MCR.EcCr.AdigVt
A4.221	CR.MCR.CSab.Sspi
A4.2211	CR.MCR.CSab.Sspi.ByB
A4.2212	CR.MCR.CSab.Sspi.As
A4.23	CR.MCR.SfR
A4.231	CR.MCR.SfR.Pid
A4.232	CR.MCR.SfR.Pol
A4.233	CR.MCR.SfR.Hia
A4.24	CR.MCR.CMus
A4.241	CR.MCR.CMus.CMyt
A4.242	CR.MCR.CMus.Mdis
A4.25	CR.MCR.CFaVS
A4.251	CR.MCR.CFaVS.CuSpH
A4.2511	CR.MCR.CFaVS.CuSpH.As
A4.2512	CR.MCR.CFaVS.CuSpH.VS
A4.252	CR.MCR.CFaVS.HbowEud
A4.3	CR.LCR
A4.31	CR.LCR.BrAs
A4.311	CR.LCR.BrAs.AmenCio
A4.3111	CR.LCR.BrAs.AmenCio.Ant
A4.3112	CR.LCR.BrAs.AmenCio.Bri
A4.312	CR.LCR.BrAs.LgAsSp
A4.313	CR.LCR.BrAs.AntAsH
A4.314	CR.LCR.BrAs.NeoPro
A4.3141	CR.LCR.BrAs.NeoPro.FS
A4.3142	CR.LCR.BrAs.NeoPro.VS
A4.7	CR.FCR
A4.71	CR.FCR.Cv
A4.711	CR.FCR.Cv.SpCup
A4.72	CR.FCR.FouFa
A4.721	CR.FCR.FouFa.AdigMsen
A4.722	CR.FCR.FouFa.Aasp
A5	SS
A5.1	SS.SCS
A5.12	SS.SCS.SCSVS
A5.13	SS.SCS.ICS
A5.131	SS.SCS.ICS.SSh
A5.132	SS.SCS.ICS.HchrEdw
A5.133	SS.SCS.ICS.MoeVen
A5.134	SS.SCS.ICS.HeloMsim
A5.135	SS.SCS.ICS.Glap
A5.136	SS.SCS.ICS.CumCset
A5.137	SS.SCS.ICS.SLan
A5.14	SS.SCS.CCS
A5.141	SS.SCS.CCS.PomB
A5.142	SS.SCS.CCS.MedLumVen
A5.143	SS.SCS.CCS.Pkef
A5.144	SS.SCS.CCS.Nmix
A5.145	SS.SCS.CCS.Blan
A5.15	SS.SCS.OCS
A5.151	SS.SCS.OCS.GlapThyAmy
A5.152	SS.SCS.OCS.HeloPkef
A5.2	SS.SSa
A5.21	SS.SSa.SSaLS
A5.22	SS.SSa.SSaVS
A5.221	SS.SSa.SSaVS.MoSaVS
A5.222	SS.SSa.SSaVS.NcirMac
A5.223	SS.SSa.SSaVS.NintGam
A5.23	SS.SSa.IFiSa
A5.231	SS.SSa.IFiSa.IMoSa
A5.232	SS.SSa.IFiSa.ScupHyd
A5.233	SS.SSa.IFiSa.NcirBat
A5.234	SS.SSa.IFiSa.TbAmPo
A5.24	SS.SSa.IMuSa
A5.241	SS.SSa.IMuSa.EcorEns
A5.242	SS.SSa.IMuSa.FfabMag
A5.243	SS.SSa.IMuSa.AreISa
A5.244	SS.SSa.IMuSa.SsubNhom
A5.25	SS.SSa.CFiSa
A5.251	SS.SSa.CFiSa.EpusOborApri
A5.252	SS.SSa.CFiSa.ApriBatPo
A5.26	SS.SSa.CMuSa
A5.261	SS.SSa.CMuSa.AalbNuc
A5.262	SS.SSa.CMuSa.AbraAirr
A5.27	SS.SSa.OSa
A5.271	SS.SSa.OSa.MalEdef
A5.272	SS.SSa.OSa.OfusAfil
A5.3	SS.SMu
A5.31	SS.SMu.SMuLS
